feature,delta_mse
mld,0.0007871394512029908
doy_cos,0.000699318580453738
chl_anom_mean7,0.0005100473026109359
doy_sin,0.0004350931666754626
chl_anom_lag7,0.0004109230298069144
chl_anom,0.0003845896445816982
mhw_flag,0.00036713239118899704
chl_anom_mean30,0.0003654824921272004
par_mean30,0.00018658033391193846
mld_anom30,4.485241527311945e-05
chl_anom_lag30,1.2893014898117394e-05
sst_anom_mean90,1.1711048956399017e-05
chl_anom_lag14,-0.00015287726759002918
par,-0.0002687572611807035
mhw_days90,-0.0006841952784184951
sst_anom_mean7,-0.0007663904051545059
sst_anom,-0.0008710216620518574
mhw_cum90,-0.0009627067881618143
sst_anom_mean30,-0.0010158732111206561
mhw_cum180,-0.0010998678090948788
mhw_cum30,-0.0012217641491590048
chl_anom_mean90,-0.0013546463344999565
